6800  0.00
6850  0.31
6900  0.69
6950  1.63
7000  3.28
7050  5.35
7100  7.62
7150  9.84
7200 12.24
7250 15.02
7300 18.13
7350 21.68
7400 25.34
7450 29.39
7500 33.95
7550 38.54
7600 43.01
7650 47.03
7700 50.72
7750 53.79
7800 56.22
7850 58.37
7900 59.71
7950 60.81
8000 61.63
8050 61.97
8100 62.11
8150 62.32
8200 62.72
8250 63.10
8300 63.08
8350 62.42
8400 61.44
8450 60.64
8500 59.68
8550 58.06
8600 55.32
8650 51.18
8700 46.21
8750 40.75
8800 33.59
8850 24.01
8900 14.66
8950  8.13
9000  3.70
9050  0.00
